Brian Tivol,Albert Lin,{'puzzle_name': 'Terrestrial Planets', 'hunt_name': 'MIT Mystery Hunt 2002'}
Brian Tivol,Kiran Kedlaya,{'puzzle_name': 'Yellow Star Meta', 'hunt_name': 'MIT Mystery Hunt 2005'}
Brian Tivol,Jaci Conrad,{'puzzle_name': 'Terrestrial Planets', 'hunt_name': 'MIT Mystery Hunt 2002'}
Brian Tivol,Marcy Levey,{'puzzle_name': 'Number Two Pencil', 'hunt_name': 'MIT Mystery Hunt 2005'}
Brian Tivol,Greg Pliska,{'puzzle_name': 'Greater Good', 'hunt_name': 'MIT Mystery Hunt 2005'}
Brian Tivol,Marcy Tivol,{'puzzle_name': 'Typecasting', 'hunt_name': 'MIT Mystery Hunt 2017'}
Brian Tivol,Violet Tivol,{'puzzle_name': 'Drop and Give Me Ten', 'hunt_name': 'MIT Mystery Hunt 2019'}
Brian Tivol,Colin Tivol,{'puzzle_name': 'Drop and Give Me Ten', 'hunt_name': 'MIT Mystery Hunt 2019'}
Brian Tivol,Jesse Gelles,{'puzzle_name': '...FISH Puzzles', 'hunt_name': 'MIT Mystery Hunt 2019'}
Brian Tivol,Sami Casanova,{'puzzle_name': '...FISH Puzzles', 'hunt_name': 'MIT Mystery Hunt 2019'}
Brian Tivol,Andrew Hunter Murray and the QI Elves,{'puzzle_name': '...FISH Puzzles', 'hunt_name': 'MIT Mystery Hunt 2019'}
Brian Tivol,Guy Jacobson,{'puzzle_name': "Halloween Town/Valentine's Day Town Meta", 'hunt_name': 'MIT Mystery Hunt 2019'}
Brian Tivol,Matt Gruskin,{'puzzle_name': "Halloween Town/Valentine's Day Town Meta", 'hunt_name': 'MIT Mystery Hunt 2019'}
Kiran Kedlaya,Albert Lin,{'puzzle_name': 'Terrestrial Planets', 'hunt_name': 'MIT Mystery Hunt 2002'}
Kiran Kedlaya,Jaci Conrad,{'puzzle_name': 'Terrestrial Planets', 'hunt_name': 'MIT Mystery Hunt 2002'}
Kiran Kedlaya,Greg Pliska,{'puzzle_name': 'Sage Advice', 'hunt_name': 'MIT Mystery Hunt 2019'}
Kiran Kedlaya,Tanis O'Connor,{'puzzle_name': 'Sage Advice', 'hunt_name': 'MIT Mystery Hunt 2019'}
Kiran Kedlaya,Eleanor Pritchard,{'puzzle_name': 'Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2005'}
Kiran Kedlaya,Todd Radford,{'puzzle_name': 'Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2005'}
Kiran Kedlaya,Daniel Vlasic,{'puzzle_name': 'From A to B', 'hunt_name': 'MIT Mystery Hunt 2005'}
Kiran Kedlaya,Tom Buehler,{'puzzle_name': 'From A to B', 'hunt_name': 'MIT Mystery Hunt 2005'}
Kiran Kedlaya,Ben Monreal,{'puzzle_name': 'Telephone Pictionary', 'hunt_name': 'MIT Mystery Hunt 2005'}
Kiran Kedlaya,Sarah Bagby,{'puzzle_name': 'Sage Advice', 'hunt_name': 'MIT Mystery Hunt 2019'}
Kiran Kedlaya,Guy Jacobson,{'puzzle_name': 'Sage Advice', 'hunt_name': 'MIT Mystery Hunt 2019'}
Kiran Kedlaya,M. Sean Molley,{'puzzle_name': 'Sage Advice', 'hunt_name': 'MIT Mystery Hunt 2019'}
Kiran Kedlaya,Brian Schoner,{'puzzle_name': 'Sage Advice', 'hunt_name': 'MIT Mystery Hunt 2019'}
Tara Holm,Justin Legakis,{'puzzle_name': 'The Roads Through Hell', 'hunt_name': 'MIT Mystery Hunt 2001'}
Tara Holm,Francis Heaney,{'puzzle_name': 'Acrophobia', 'hunt_name': 'MIT Mystery Hunt 2001'}
Julie Bzostek,Scott Weiss,{'puzzle_name': 'The Two Faces of Evil', 'hunt_name': 'MIT Mystery Hunt 2001'}
Scott Weiss,Debby Levinson,{'puzzle_name': 'Stumpophobia', 'hunt_name': 'MIT Mystery Hunt 2001'}
Scott Weiss,Jenny Gutbezahl,{'puzzle_name': 'What Incarnation of Palindrome are You?', 'hunt_name': 'MIT Mystery Hunt 2008'}
Scott Weiss,Joseph DeVincentis,{'puzzle_name': 'What Incarnation of Palindrome are You?', 'hunt_name': 'MIT Mystery Hunt 2008'}
Andy Latto,Cally Perry,{'puzzle_name': 'We Have Enough Twists, Thank You', 'hunt_name': 'MIT Mystery Hunt 2001'}
Cally Perry,Oliver Kosut,{'puzzle_name': 'A Modern Palimpsest', 'hunt_name': 'MIT Mystery Hunt 2011'}
Cally Perry,Iolanthe Chronis,{'puzzle_name': 'Do Sa Do', 'hunt_name': 'MIT Mystery Hunt 2006'}
Cally Perry,Joia Hertz,{'puzzle_name': 'Denial', 'hunt_name': 'MIT Mystery Hunt 2006'}
Cally Perry,Sai,{'puzzle_name': 'A Modern Palimpsest', 'hunt_name': 'MIT Mystery Hunt 2011'}
Cally Perry,Alex Fink,{'puzzle_name': 'A Modern Palimpsest', 'hunt_name': 'MIT Mystery Hunt 2011'}
Cally Perry,Catherine Miller,{'puzzle_name': 'A Modern Palimpsest', 'hunt_name': 'MIT Mystery Hunt 2011'}
Cally Perry,Alex Vandiver,{'puzzle_name': 'A Modern Palimpsest', 'hunt_name': 'MIT Mystery Hunt 2011'}
Cally Perry,Reid Barton,{'puzzle_name': 'A Modern Palimpsest', 'hunt_name': 'MIT Mystery Hunt 2011'}
Cally Perry,Lee Keyser-Allen,{'puzzle_name': 'Food for Thought', 'hunt_name': 'MIT Mystery Hunt 2011'}
Cally Perry,Katherine Reid,{'puzzle_name': 'A Modern Palimpsest', 'hunt_name': 'MIT Mystery Hunt 2011'}
Cally Perry,David Speyer,{'puzzle_name': 'Food for Thought', 'hunt_name': 'MIT Mystery Hunt 2011'}
Francis Heaney,Frank Longo,{'puzzle_name': 'A Pile of Letters', 'hunt_name': 'MIT Mystery Hunt 2003'}
Francis Heaney,Lance Nathan,{'puzzle_name': 'Set Match', 'hunt_name': 'MIT Mystery Hunt 2003'}
Francis Heaney,Matt Wulf,{'puzzle_name': 'Shop', 'hunt_name': 'MIT Mystery Hunt 2003'}
Francis Heaney,Craig Swanson,{'puzzle_name': 'Whoa-I Know Drawing', 'hunt_name': 'MIT Mystery Hunt 2003'}
Francis Heaney,Zack Butler,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Mike Selinker,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Mark L. Gottlieb,{'puzzle_name': 'Wrath event', 'hunt_name': 'MIT Mystery Hunt 2007'}
Francis Heaney,Jennifer Braun,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Thomas Snyder,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Tony Delgado,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Michael King,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Greg Brume,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Patrick Blindauer,{'puzzle_name': 'Movie-Musicals', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Greg Clark,{'puzzle_name': 'Critical Thinking', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Jordan Bennett Louis Smith,{'puzzle_name': 'Critical Thinking', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Wei-Hwa Huang,{'puzzle_name': 'Equal Billing', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Skuld,{'puzzle_name': 'How Hard Can It Be?', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Andrew Lin,{'puzzle_name': 'Watson 2.0 Meta', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Scott Handelman,{'puzzle_name': 'Watson 2.0 Meta', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Kevin Carde,{'puzzle_name': 'Evil Influence', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Seth Schoen,{'puzzle_name': 'The Voices in Your Head', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,Chris Ball,{'puzzle_name': 'The Voices in Your Head', 'hunt_name': 'MIT Mystery Hunt 2012'}
Francis Heaney,j Baumgart,{'puzzle_name': 'The Voices in Your Head', 'hunt_name': 'MIT Mystery Hunt 2012'}
